Date,Open,High,Low,Close,Adj Close,Volume
2012-03-01,9.020000,9.110000,8.030000,8.240000,7.671110,178081900
2012-04-01,8.220000,8.500000,7.760000,8.280000,7.708348,182216400
2012-05-01,8.250000,9.140000,8.000000,9.030000,8.406570,211008800
2012-06-01,8.900000,9.420000,8.580000,9.220000,8.583451,225293800
2012-07-01,9.300000,9.820000,8.450000,9.190000,8.565092,202143000
2012-08-01,9.190000,9.530000,8.810000,8.940000,8.332092,175484900
2012-09-01,8.930000,9.320000,8.750000,8.770000,8.182622,120278700
2012-10-01,8.780000,9.170000,8.680000,8.820000,8.229275,137233000
2012-11-01,8.820000,9.580000,8.700000,9.530000,8.891723,133572500
2012-12-01,9.580000,10.610000,9.420000,10.240000,9.554172,134684300
2013-01-01,10.450000,11.620000,10.360000,11.210000,10.470296,187986900
2013-02-01,11.290000,11.900000,11.150000,11.700000,10.927961,127153100
2013-03-01,11.660000,13.580000,11.660000,13.480000,12.590506,140992100
2013-04-01,13.470000,13.770000,12.450000,13.700000,12.806624,158625600
2013-05-01,13.710000,14.560000,13.400000,14.170000,13.245975,174503900
2013-06-01,14.180000,14.280000,12.790000,12.890000,12.049446,150874500
2013-07-01,12.960000,14.020000,12.580000,13.830000,12.964746,119536000
2013-08-01,13.910000,14.240000,12.640000,12.810000,12.008561,119007600
2013-09-01,12.970000,14.820000,12.730000,14.560000,13.687932,124606400
2013-10-01,14.580000,17.340000,14.480000,17.219999,16.188616,151855900
2013-11-01,17.260000,18.980000,17.200001,18.590000,17.476557,150545200
2013-12-01,18.620001,19.000000,17.730000,18.840000,17.711584,122877900
2014-01-01,18.850000,22.100000,18.780001,20.950001,19.737883,195636400
2014-02-01,20.980000,22.629999,20.230000,22.440001,21.141676,154461900
2014-03-01,22.150000,24.170000,21.820000,23.610001,22.243979,148114800
2014-04-01,23.730000,24.450001,22.350000,24.170000,22.812500,141600700
2014-05-01,24.170000,26.639999,23.850000,26.450001,24.964445,105610500
2014-06-01,26.480000,27.700001,25.469999,26.860001,25.351416,140138400
2014-07-01,27.180000,29.700001,25.860001,28.280001,26.752352,141101900
2014-08-01,28.209999,32.430000,27.420000,32.009998,30.280855,102522300
2014-09-01,32.080002,35.490002,32.029999,33.770000,32.008102,150320300
2014-10-01,32.970001,35.349998,28.400000,34.480000,32.681057,278877600
2014-11-01,34.549999,42.419998,34.470001,41.820000,39.638111,150416400
2014-12-01,42.240002,43.189999,38.730000,42.320000,40.112015,194291500
2015-01-01,42.689999,47.169998,38.259998,45.180000,42.883869,187090400
2015-02-01,44.939999,45.490002,42.189999,43.240002,41.042473,150687600
2015-03-01,43.240002,46.500000,42.209999,44.299999,42.048592,133228800
2015-04-01,44.070000,44.189999,40.099998,40.560001,38.550983,140859800
2015-05-01,40.830002,43.450001,35.540001,37.049999,35.214836,185917900
2015-06-01,37.110001,38.299999,33.020000,33.090000,31.450977,238159900
2015-07-01,33.860001,38.700001,31.360001,36.200001,34.476738,195239800
2015-08-01,36.660000,40.869999,32.939999,36.700001,34.952930,187803300
2015-09-01,36.169998,40.000000,36.000000,38.040001,36.296432,140448300
2015-10-01,37.820000,46.950001,37.000000,46.290001,44.168301,163756800
2015-11-01,46.470001,47.759998,44.680000,45.880001,43.777092,99988200
2015-12-01,46.000000,51.340000,42.660000,43.060001,41.086342,138908000
2016-01-01,41.700001,43.500000,35.509998,37.619999,35.950062,154041900
